23,2020,036084,,,1,20-238200,          Building Equipment Contractors,"12,400","12,300","12,500","12,500","12,500","12,700","12,900","13,000","12,500","12,300","12,200","12,100","12,100","11,900","11,700","11,800","11,800","12,100","12,700","13,100","13,300","13,700","13,800","14,000","13,900","14,200","14,100","14,200","14,300","14,600","15,100","15,300","15,400","15,500","15,400","15,600","15,700","16,000","16,400","16,500","16,500","16,600","16,800","17,100","16,900","17,100","16,800","16,600","16,400","16,500","16,200","16,400","16,500","17,100","17,600","18,000","17,900","17,900","17,900","17,800","17,700","17,600","17,700","17,900","18,000","18,200","18,600","19,000","19,200","19,400","19,400","19,500","19,500","19,800","19,600","20,200","20,600","20,700","21,000","21,200","21,200","21,300","21,300","21,000","20,300","20,300","20,100","20,100","20,500","20,900","20,700","20,700","20,800","21,000","21,100","21,200","20,900","21,400","21,500","21,500","21,600","21,400","21,800","22,100","22,500","22,500","22,400","22,400","21,900","22,000","22,200","22,300","22,500","22,600","22,800","22,700","22,700","22,500","22,700","22,500","22,900","23,300","23,000","17,900","20,500","21,700","21,800","22,000","22,200","22,400","22,400","22,400","22,600","22,700","22,800","22,900","23,200","23,500","23,400","23,500","23,400","23,600","23,600"
25,2020,036084,210000-330000,,1,30-000000,      Manufacturing,"80,900","81,200","81,400","77,400","77,900","78,300","79,100","79,100","79,200","79,200","79,500","79,600","79,500","79,500","79,800","80,100","80,500","81,000","81,800","81,600","80,600","80,300","80,300","80,400","80,000","80,000","80,300","80,800","80,800","81,100","81,200","81,100","80,900","80,700","80,400","80,200","79,500","79,900","80,000","80,100","80,400","80,700","81,000","81,700","81,600","81,300","81,500","81,600","81,100","81,400","81,700","82,200","82,600","83,300","83,900","84,200","84,700","85,000","85,900","86,200","85,700","85,900","86,400","87,100","87,600","88,400","89,500","89,700","89,900","90,000","89,800","89,700","90,000","90,300","90,200","90,200","90,400","91,100","92,100","92,200","92,300","91,800","92,000","92,500","92,600","93,200","94,400","93,800","94,500","95,400","96,700","97,100","97,200","97,700","97,900","98,400","98,900","99,300","99,500","99,700","100,200","100,400","102,000","102,000","101,400","101,100","101,100","101,800","101,000","101,300","101,500","100,800","100,500","100,800","101,000","101,100","101,000","100,600","100,800","101,900","100,700","101,500","102,000","92,600","94,000","97,500","97,400","97,900","98,700","98,600","98,100","99,600","99,600","100,700","100,400","98,600","99,000","99,300","100,200","98,800","98,100","97,300","97,500"
26,2020,036084,"321000, 327000-330000",,1,31-000000,        Durable Goods,"50,600","51,000","51,300","47,400","47,800","48,100","48,800","48,900","49,100","49,000","49,200","49,500","49,100","49,200","49,500","50,000","50,300","50,700","51,300","51,100","50,000","50,000","50,200","50,400","50,400","50,500","50,700","50,800","50,800","51,000","51,100","50,900","50,700","50,400","50,300","50,200","49,700","49,900","50,000","50,000","50,300","50,500","50,600","51,100","51,000","50,700","50,900","51,100","51,100","51,300","51,600","52,100","52,300","52,900","53,200","53,400","53,700","54,100","55,000","55,300","54,900","55,300","55,700","55,900","56,200","56,700","57,800","57,900","58,100","58,200","58,000","58,000","58,200","58,500","58,500","58,500","58,300","58,800","59,300","59,200","59,100","58,900","58,900","59,200","59,200","59,700","60,800","60,600","61,200","61,900","63,100","63,500","63,700","64,100","64,300","64,900","65,800","66,000","66,300","66,700","67,100","67,200","68,500","68,400","67,900","67,500","67,500","68,200","67,900","68,200","68,500","67,700","67,300","67,500","67,400","67,500","67,600","67,400","67,800","68,800","68,300","68,900","69,600","63,600","64,900","67,900","67,900","68,300","69,000","68,900","68,500","70,000","70,400","71,400","71,100","69,300","69,500","69,600","70,400","68,800","68,000","67,300","67,600"
27,2020,036084,,,1,31-334000,          Computer & Electronic Product Manufacturing,"16,300","16,500","16,500","17,100","17,500","17,600","18,100","18,200","18,400","18,200","18,300","18,400","18,000","17,900","17,900","18,400","18,600","18,800","19,100","19,000","18,100","18,000","18,100","18,100","18,500","18,600","18,700","18,700","18,700","18,600","18,600","18,400","18,200","18,100","18,100","18,000","17,800","17,700","17,700","17,600","17,700","17,700","17,700","17,600","17,400","17,300","17,300","17,400","17,500","17,400","17,500","17,400","17,500","17,600","17,800","17,900","18,000","17,900","18,200","18,300","18,300","18,400","18,500","18,400","18,400","18,400","18,600","18,700","18,600","18,400","18,600","18,500","18,200","18,300","18,200","18,300","18,200","18,400","18,300","18,400","18,300","18,100","18,200","18,300","18,100","18,000","18,200","18,000","18,000","18,000","18,000","17,900","17,900","18,200","18,200","18,200","18,400","18,400","18,500","18,600","18,800","18,800","19,100","19,200","19,100","19,100","19,100","19,000","19,300","19,400","19,500","19,500","19,300","19,400","19,600","19,700","19,500","19,600","19,500","19,700","20,100","20,100","20,200","18,800","19,700","20,100","20,300","20,300","20,200","20,100","20,100","20,400","20,400","20,500","20,500","20,500","20,500","20,700","20,700","20,700","20,700","20,500","20,400"
30,2020,036084,"311000-316000, 322000-326000",,1,32-000000,        Nondurable Goods,"30,300","30,200","30,100","30,000","30,100","30,200","30,300","30,200","30,100","30,200","30,300","30,100","30,400","30,300","30,300","30,100","30,200","30,300","30,500","30,500","30,600","30,300","30,100","30,000","29,600","29,500","29,600","30,000","30,000","30,100","30,100","30,200","30,200","30,300","30,100","30,000","29,800","30,000","30,000","30,100","30,100","30,200","30,400","30,600","30,600","30,600","30,600","30,500","30,000","30,100","30,100","30,100","30,300","30,400","30,700","30,800","31,000","30,900","30,900","30,900","30,800","30,600","30,700","31,200","31,400","31,700","31,700","31,800","31,800","31,800","31,800","31,700","31,800","31,800","31,700","31,700","32,100","32,300","32,800","33,000","33,200","32,900","33,100","33,300","33,400","33,500","33,600","33,200","33,300","33,500","33,600","33,600","33,500","33,600","33,600","33,500","33,100","33,300","33,200","33,000","33,100","33,200","33,500","33,600","33,500","33,600","33,600","33,600","33,100","33,100","33,000","33,100","33,200","33,300","33,600","33,600","33,400","33,200","33,000","33,100","32,400","32,600","32,400","29,000","29,100","29,600","29,500","29,600","29,700","29,700","29,600","29,600","29,200","29,300","29,300","29,300","29,500","29,700","29,800","30,000","30,100","30,000","29,900"
34,2020,036084,"220000, 420000-813000, 92000",,1,07-000000,    Service Providing,"836,100","837,600","841,900","846,700","852,300","853,300","833,000","828,600","843,700","849,000","854,400","855,900","838,000","841,200","846,600","852,600","854,700","856,900","849,300","848,700","852,800","860,200","864,600","867,000","854,700","858,300","864,300","873,000","878,200","881,300","872,900","874,900","877,300","886,000","895,400","898,400","880,900","886,500","891,400","897,600","902,300","899,900","895,000","897,000","900,300","910,300","917,000","916,400","901,000","906,600","910,700","918,400","923,600","925,300","914,500","916,600","918,000","926,700","936,400","938,900","923,400","928,000","934,400","941,900","945,900","947,400","943,700","945,700","947,400","958,000","965,100","968,600","952,500","958,500","961,600","972,600","975,000","974,800","971,000","972,500","977,700","988,300","994,800","996,500","977,600","982,700","989,700","990,900","996,200","998,700","987,200","988,100","991,700","1,001,400","1,006,100","1,008,900","988,900","994,400","1,000,400","1,002,600","1,006,800","1,009,900","997,700","1,002,200","1,002,900","1,010,200","1,016,000","1,018,900","997,500","1,004,000","1,007,300","1,008,700","1,013,800","1,016,000","1,007,300","1,011,500","1,009,700","1,016,300","1,026,500","1,028,500","1,011,300","1,016,600","1,007,100","857,300","870,300","889,600","886,200","892,700","898,000","911,200","920,500","919,700","899,600","908,100","916,000","920,500","923,900","926,700","919,100","924,600","929,100","943,600","954,600"
35,2020,036084,,,1,08-000000,    Private Service Providing,"669,500","669,700","672,600","676,300","678,400","681,400","680,500","680,100","680,100","683,600","686,900","689,500","673,700","675,000","678,300","685,200","686,400","689,200","690,600","692,200","694,200","696,800","700,400","704,200","693,700","695,000","699,500","708,000","712,200","715,800","714,400","717,500","718,100","723,400","729,400","734,100","720,000","723,600","725,700","731,400","735,600","736,700","736,100","739,300","738,600","744,700","750,100","753,400","737,200","740,800","744,400","749,400","753,900","756,100","752,400","756,600","754,300","758,400","766,300","769,000","756,300","759,600","764,000","770,100","773,700","776,200","780,100","781,700","779,900","786,800","792,000","796,900","781,700","785,500","786,800","796,800","798,200","800,100","805,800","806,700","805,300","811,700","816,900","819,300","803,600","806,400","812,100","813,700","817,400","822,300","821,600","822,300","819,300","824,800","828,300","831,700","814,800","818,500","822,900","824,700","828,200","832,100","832,700","835,100","830,400","834,500","839,200","841,700","824,800","827,800","830,800","831,400","835,100","838,500","840,400","841,800","836,000","840,400","849,700","852,500","835,900","840,300","830,500","688,300","704,800","728,000","731,500","735,000","737,100","746,400","755,500","756,200","738,800","745,700","752,600","756,200","759,800","763,900","770,100","774,100","774,000","783,800","792,900"
36,2020,036084,"220000, 420000-490000",,1,40-000000,"      Trade, Transportation & Utilities","173,600","171,700","171,200","170,700","171,600","172,400","171,200","171,400","171,100","172,500","175,900","179,000","172,000","170,400","170,400","172,100","172,800","173,600","174,800","175,600","175,700","176,600","181,300","183,800","177,600","175,000","175,200","176,800","178,000","178,800","179,500","180,100","179,800","180,800","187,200","189,700","182,800","181,100","180,700","180,400","181,800","183,200","183,300","184,100","184,000","186,700","192,200","195,400","187,700","185,500","185,800","186,300","187,500","188,300","188,800","190,400","189,400","190,800","196,900","200,100","194,000","192,300","192,600","192,800","193,800","194,700","196,500","197,000","196,600","198,000","202,400","205,800","198,800","197,600","197,100","198,300","198,300","198,900","201,100","201,800","200,800","202,800","207,700","211,000","204,400","201,400","201,400","201,700","202,200","202,700","203,400","204,400","203,300","204,500","209,800","213,100","205,600","203,000","203,000","202,300","202,400","202,900","203,600","204,200","202,900","203,100","208,100","210,400","203,000","199,900","199,600","198,500","198,700","199,100","199,600","199,800","198,200","199,500","205,200","208,000","200,600","198,700","197,200","167,900","170,300","179,700","184,000","186,200","186,700","188,100","193,900","196,900","190,500","188,800","187,200","187,100","185,900","186,300","187,400","186,700","184,500","188,900","193,900"
37,2020,036084,,,1,41-000000,        Wholesale Trade,"41,000","40,900","40,800","41,000","41,100","41,300","41,000","40,900","40,800","41,200","41,300","41,200","40,800","40,900","41,000","41,300","41,600","41,600","42,000","42,100","42,100","42,300","42,400","42,500","41,800","41,900","42,000","42,700","43,000","43,200","43,800","43,900","43,700","43,800","44,000","44,200","44,000","44,100","44,000","44,000","44,300","44,600","44,700","44,800","44,800","45,100","45,300","45,600","45,000","45,100","45,000","45,100","45,400","45,400","45,600","45,900","45,600","45,900","46,200","46,400","46,100","46,200","46,300","46,400","46,600","46,800","47,400","47,600","47,500","47,500","47,500","47,800","47,300","47,400","47,400","47,700","47,800","48,000","48,700","48,700","48,500","48,600","48,500","48,700","48,200","48,400","48,300","48,500","48,800","49,000","49,100","49,100","48,600","48,800","48,600","48,800","48,100","48,100","48,000","47,800","47,700","47,700","47,400","47,400","47,100","47,200","47,000","46,900","45,800","45,700","45,600","45,600","45,600","45,500","45,400","45,300","44,900","45,100","44,900","45,100","44,400","44,500","44,400","40,300","40,300","41,200","41,500","41,700","41,600","41,200","41,400","41,400","41,300","40,200","40,400","41,000","40,500","40,400","40,900","40,600","40,200","40,700","41,000"
38,2020,036084,,,1,41-423000,"          Merchant Wholesalers, Durable Goods","20,800","20,800","20,700","20,700","20,800","21,100","21,200","21,200","21,200","21,100","21,200","21,300","21,300","21,300","21,500","21,600","21,800","21,800","21,800","21,900","21,900","21,900","22,000","22,100","21,800","21,900","21,900","21,900","22,000","22,100","22,300","22,300","22,300","22,300","22,400","22,400","22,200","22,300","22,300","22,300","22,500","22,700","22,800","23,000","22,900","23,100","23,300","23,600","23,300","23,400","23,400","23,600","23,700","23,800","24,100","24,300","24,300","24,500","24,700","25,000","24,900","25,000","25,100","25,200","25,300","25,400","25,800","25,900","25,900","26,000","26,100","26,300","26,300","26,400","26,400","26,600","26,700","26,900","27,200","27,300","27,300","27,200","27,200","27,400","27,100","27,200","27,300","27,300","27,500","27,600","27,800","27,900","27,600","27,800","27,700","27,900","27,400","27,400","27,500","27,300","27,100","26,900","26,800","26,800","26,600","26,600","26,500","26,500","26,100","25,900","25,900","25,700","25,700","25,600","25,500","25,400","25,100","25,200","25,100","25,300","24,900","24,900","24,900","22,600","22,800","23,400","23,300","23,400","23,300","22,900","23,000","23,100","22,900","21,900","21,700","22,100","21,600","21,500","21,600","21,400","21,000","21,300","21,400"
39,2020,036084,,,1,41-424000,"          Merchant Wholesalers, Nondurable Goods","17,000","17,000","17,000","17,100","17,200","17,200","16,700","16,700","16,700","17,000","17,000","16,800","16,500","16,500","16,400","16,600","16,800","16,700","17,000","17,000","17,100","17,300","17,300","17,300","16,900","16,900","16,900","17,300","17,600","17,800","18,200","18,300","18,200","18,200","18,300","18,400","18,500","18,500","18,500","18,500","18,500","18,600","18,600","18,600","18,700","18,700","18,800","18,800","18,700","18,700","18,700","18,500","18,500","18,600","18,400","18,400","18,300","18,300","18,300","18,200","18,000","18,000","17,900","17,900","18,100","18,300","18,300","18,400","18,500","18,400","18,300","18,300","18,200","18,200","18,300","18,300","18,300","18,400","18,800","18,700","18,600","18,700","18,700","18,800","18,600","18,700","18,600","18,800","18,800","19,000","18,800","18,700","18,400","18,500","18,300","18,300","18,100","18,100","18,000","17,900","18,000","18,200","18,000","18,000","17,900","17,900","17,800","17,700","17,300","17,400","17,300","17,400","17,300","17,300","17,400","17,400","17,200","17,400","17,300","17,300","17,100","17,200","17,200","15,500","15,500","15,600","16,000","16,100","16,000","16,100","16,000","16,100","16,000","16,000","16,400","16,400","16,500","16,500","16,700","16,800","16,800","16,800","17,000"
42,2020,036084,440000-450000,,1,42-000000,        Retail Trade,"101,500","99,700","99,500","99,200","99,900","100,200","99,900","100,200","99,600","100,600","103,900","106,200","100,700","99,100","99,100","99,400","99,800","100,300","101,000","101,500","101,400","102,400","106,700","108,400","103,900","101,300","101,100","102,000","102,900","103,200","103,600","104,000","103,800","104,800","110,500","112,300","106,500","104,800","104,600","104,200","105,200","106,000","106,000","106,600","106,200","107,900","112,800","114,700","108,800","106,400","106,800","107,000","107,400","108,300","108,200","109,100","108,100","109,300","114,500","116,200","111,200","109,400","109,600","109,600","110,100","110,600","111,400","111,700","111,400","112,500","116,300","118,100","113,100","111,800","111,600","111,600","111,700","111,900","112,900","113,300","112,400","113,700","117,700","119,000","115,000","112,700","112,500","112,600","112,900","113,100","113,500","114,100","113,200","114,200","118,700","119,800","115,500","113,700","113,700","113,100","113,200","113,300","114,200","114,400","113,400","113,400","117,000","118,400","113,400","111,200","110,700","110,100","110,400","110,600","111,200","111,100","109,800","110,800","115,100","116,100","110,900","109,700","108,600","86,000","87,000","94,700","98,300","99,300","99,900","101,300","104,500","105,500","101,800","100,600","99,700","99,200","98,600","99,100","99,700","98,500","97,600","100,600","103,500"
43,2020,036084,,,1,42-441000,          Motor Vehicle & Parts Dealer,"9,800","9,800","9,800","9,900","10,000","10,100","10,200","10,300","10,200","10,100","10,100","10,100","10,100","10,100","10,100","10,300","10,300","10,300","10,500","10,500","10,400","10,300","10,300","10,400","10,300","10,400","10,500","10,800","10,800","10,800","11,000","11,100","11,100","11,100","11,100","11,100","11,200","11,200","11,200","11,200","11,400","11,300","11,400","11,500","11,500","11,600","11,600","11,700","11,600","11,600","11,600","11,900","11,900","12,000","12,100","12,200","12,100","12,200","12,200","12,200","12,100","12,200","12,200","12,300","12,400","12,400","12,400","12,600","12,500","12,600","12,600","12,500","12,600","12,600","12,600","12,600","12,800","12,800","12,700","12,800","12,600","12,700","12,800","12,900","13,000","13,200","13,100","13,400","13,500","13,400","13,400","13,500","13,400","13,600","13,600","13,500","13,600","13,700","13,500","13,600","13,700","13,500","13,500","13,500","13,500","13,500","13,500","13,400","13,400","13,400","13,400","13,300","13,300","13,200","13,100","13,100","13,000","13,200","13,200","13,200","13,000","13,100","12,900","10,000","10,500","11,200","11,100","11,300","11,400","11,500","11,500","11,500","11,500","11,600","11,600","11,600","11,600","11,600","11,600","11,500","11,500","11,500","11,600"
44,2020,036084,,,1,42-445000,          Food & Beverage Stores,"23,000","22,900","22,800","22,700","22,900","23,100","22,800","22,800","22,700","22,800","23,100","23,400","22,800","22,800","22,800","22,700","22,900","23,000","23,000","23,100","23,200","23,300","23,600","24,000","23,600","23,500","23,400","23,500","24,000","23,800","23,700","23,800","24,100","24,300","24,700","25,500","24,500","24,500","24,300","24,100","24,600","24,800","24,700","24,600","24,700","24,900","25,100","25,500","25,000","25,000","25,200","24,800","24,900","24,900","24,700","24,800","24,700","24,900","25,500","25,700","25,300","25,300","25,300","25,200","25,400","25,500","25,700","25,400","25,600","25,200","25,400","25,500","25,100","25,500","25,400","25,200","25,200","25,200","25,400","25,400","25,400","25,500","25,700","25,900","25,500","25,500","25,500","25,600","25,800","25,800","25,500","25,700","25,400","25,500","25,900","25,900","25,300","25,400","25,500","25,500","25,500","25,400","25,600","25,600","25,400","25,600","25,900","25,800","25,400","25,500","25,400","25,400","25,600","25,300","25,500","25,300","25,400","25,400","25,700","25,600","25,100","25,200","25,200","24,800","25,400","25,800","25,800","25,900","25,800","25,900","26,100","25,900","25,800","25,900","25,800","25,500","25,400","25,200","25,300","25,200","25,000","25,500","26,000"
47,2020,036084,,,1,42-446000,          Health & Personal Care Stores,"7,000","7,000","7,000","7,100","7,100","7,000","6,900","6,900","6,800","6,800","6,800","6,900","6,600","6,600","6,500","6,800","6,800","6,900","6,800","6,800","6,900","6,800","6,900","6,900","6,800","6,800","6,800","6,800","6,800","6,900","6,900","6,800","6,900","7,000","7,300","7,300","7,100","7,000","7,000","7,100","7,100","7,300","7,200","7,200","7,200","7,200","7,400","7,400","7,300","7,200","7,200","7,100","7,100","7,200","7,200","7,200","7,200","7,300","7,500","7,400","7,300","7,300","7,300","7,200","7,200","7,200","7,200","7,200","7,400","7,300","7,500","7,300","7,300","7,400","7,400","7,500","7,500","7,400","7,500","7,600","7,600","7,700","8,000","8,000","8,000","7,800","7,800","7,800","7,700","7,700","7,800","7,700","7,600","7,600","7,900","8,000","7,800","7,600","7,600","7,500","7,500","7,600","7,500","7,500","7,400","7,500","7,700","7,800","7,600","7,300","7,400","7,200","7,200","7,300","7,300","7,300","7,200","7,100","7,400","7,500","7,200","7,100","7,000","6,200","5,600","5,800","6,100","6,000","6,200","6,200","6,200","6,300","6,300","6,200","6,200","6,300","6,200","6,200","6,100","6,200","6,200","6,300","6,600"
48,2020,036084,,,1,42-448000,          Clothing & Clothing Accessories Stores,"9,000","8,800","8,700","8,700","9,000","9,000","9,200","9,300","9,100","9,500","10,400","11,100","9,900","9,500","9,400","9,300","9,400","9,600","9,900","9,900","9,700","9,900","11,000","11,400","10,200","9,700","9,700","9,700","9,800","10,000","10,000","10,100","9,800","10,100","12,400","12,400","11,200","10,600","10,500","10,500","10,700","11,100","11,000","11,000","10,800","10,900","12,500","12,900","11,100","10,500","10,600","10,600","10,700","11,000","11,000","11,100","10,600","10,800","12,300","12,700","11,100","10,800","10,800","10,700","10,800","11,000","11,000","11,300","10,800","11,000","12,400","12,800","11,300","10,900","10,800","10,700","10,600","11,000","11,100","11,300","10,800","11,000","12,100","12,700","11,400","10,800","10,700","10,700","10,800","11,100","11,300","11,100","10,800","11,000","12,000","12,400","11,200","10,700","10,800","10,600","10,600","11,100","11,200","11,000","10,700","10,700","11,900","12,100","11,000","10,500","10,300","10,300","10,300","10,600","10,800","10,700","10,300","10,300","11,400","11,800","10,600","10,200","9,900","3,700","3,300","5,200","7,300","6,900","7,500","8,700","9,400","9,900","8,800","8,800","8,800","9,000","9,100","9,300","9,600","9,700","9,600","9,800","10,500"
49,2020,036084,,,1,42-451000,"          Sporting Goods, Hobby, Book & Music Stores","5,400","5,100","5,000","5,000","5,000","4,900","4,800","4,800","4,900","5,000","5,400","5,600","5,200","4,800","4,800","4,700","4,700","4,600","4,500","4,600","4,800","4,800","5,400","5,400","5,100","4,700","4,700","4,600","4,600","4,600","4,600","4,800","4,800","4,800","5,300","5,400","5,000","4,700","4,600","4,600","4,600","4,600","4,600","4,800","4,600","4,700","5,300","5,400","5,000","4,700","4,700","4,600","4,700","4,600","4,500","4,700","4,700","5,000","5,500","5,600","5,200","4,900","4,900","4,800","4,700","4,700","4,700","4,800","4,700","4,800","5,300","5,400","5,000","4,700","4,600","4,600","4,600","4,600","4,500","4,400","4,500","4,600","5,000","5,200","4,800","4,700","4,700","4,700","4,600","4,700","4,600","4,600","4,600","4,800","5,300","5,400","5,000","4,700","4,800","4,700","4,500","4,500","4,300","4,400","4,400","4,400","4,600","4,700","4,500","4,400","4,300","4,300","4,300","4,300","4,300","4,400","4,300","4,300","4,600","4,700","4,400","4,300","4,200","2,200","2,200","2,900","3,200","3,300","3,400","3,500","3,600","3,700","3,500","3,400","3,300","3,300","3,300","3,400","3,500","3,500","3,400","3,500","3,800"
50,2020,036084,,,1,42-452000,          General Merchandise Stores,"19,000","18,100","17,900","17,700","17,800","17,800","18,100","18,300","18,100","18,300","19,700","20,300","18,300","17,700","17,700","17,900","17,900","18,000","18,200","18,400","18,600","19,300","21,200","21,700","20,100","18,400","18,300","18,300","18,500","18,700","19,000","19,100","18,900","19,300","21,100","21,800","19,500","18,900","18,900","18,800","18,700","19,000","19,300","19,600","19,700","20,400","22,000","22,700","20,600","19,400","19,300","19,400","19,600","19,800","20,000","20,300","20,100","20,300","22,000","22,900","21,200","19,900","19,900","19,800","20,100","20,300","20,700","20,900","20,800","21,400","22,800","23,700","21,600","20,500","20,400","20,300","20,300","20,300","20,800","21,000","20,700","21,100","22,700","23,000","21,400","20,100","19,900","19,600","19,700","19,600","20,000","20,200","20,200","20,400","22,400","22,700","21,000","19,900","19,600","19,300","19,300","19,300","20,200","20,600","20,700","20,200","22,000","23,100","20,800","19,500","19,300","19,200","19,100","19,100","19,400","19,600","19,300","19,700","21,600","22,300","19,900","19,000","18,800","14,900","14,200","16,300","16,900","17,000","17,200","17,600","19,000","19,600","18,000","17,500","17,200","16,900","16,400","17,100","17,400","17,300","17,400","18,100","19,600"
53,2020,036084,,,1,43-000000,"        Transportation, Warehousing & Utilities","31,100","31,100","30,900","30,500","30,600","30,900","30,300","30,300","30,700","30,700","30,700","31,600","30,500","30,400","30,300","31,400","31,400","31,700","31,800","32,000","32,200","31,900","32,200","32,900","31,900","31,800","32,100","32,100","32,100","32,400","32,100","32,200","32,300","32,200","32,700","33,200","32,300","32,200","32,100","32,200","32,300","32,600","32,600","32,700","33,000","33,700","34,100","35,100","33,900","34,000","34,000","34,200","34,700","34,600","35,000","35,400","35,700","35,600","36,200","37,500","36,700","36,700","36,700","36,800","37,100","37,300","37,700","37,700","37,700","38,000","38,600","39,900","38,400","38,400","38,100","39,000","38,800","39,000","39,500","39,800","39,900","40,500","41,500","43,300","41,200","40,300","40,600","40,600","40,500","40,600","40,800","41,200","41,500","41,500","42,500","44,500","42,000","41,200","41,300","41,400","41,500","41,900","42,000","42,400","42,400","42,500","44,100","45,100","43,800","43,000","43,300","42,800","42,700","43,000","43,000","43,400","43,500","43,600","45,200","46,800","45,300","44,500","44,200","41,600","43,000","43,800","44,200","45,200","45,200","45,600","48,000","50,000","47,400","48,000","47,100","46,900","46,800","46,800","46,800","47,600","46,700","47,600","49,400"
55,2020,036084,480000-490000,,1,43-400089,          Transportation & Warehousing,"27,400","27,500","27,300","26,900","27,000","27,300","26,700","26,700","27,100","27,000","27,100","27,900","26,800","26,700","26,600","27,700","27,700","28,000","28,000","28,200","28,400","28,100","28,400","29,100","28,000","27,900","28,100","28,100","28,100","28,400","28,000","28,200","28,200","28,100","28,600","29,000","28,100","27,900","27,900","28,000","28,100","28,400","28,400","28,500","28,700","28,700","29,000","30,000","28,800","28,800","28,700","29,000","29,400","29,400","29,700","30,200","30,400","30,400","31,000","32,400","31,400","31,500","31,400","31,400","31,700","31,800","32,100","32,100","32,200","32,500","33,100","34,300","32,800","32,800","32,400","33,400","33,100","33,200","33,700","34,000","34,100","34,700","35,700","37,500","35,400","34,500","34,800","34,900","34,700","34,900","35,100","35,500","35,800","35,900","36,900","38,900","36,400","35,600","35,700","35,900","35,900","36,300","36,500","36,800","36,800","36,900","38,600","39,500","38,200","37,500","37,800","37,300","37,200","37,500","37,400","37,800","37,900","38,100","39,500","41,200","39,600","38,700","38,400","35,800","37,200","38,000","38,300","39,300","39,300","39,500","41,800","43,700","41,200","41,600","40,900","40,600","40,600","40,700","40,800","41,500","40,800","41,500","43,300"
57,2020,036084,,,1,43-484000,            Truck Transportation,"5,900","5,800","5,800","5,800","5,900","6,000","6,000","6,000","6,000","6,100","6,100","6,200","6,100","6,200","6,100","6,100","6,200","6,300","6,300","6,400","6,300","6,400","6,400","6,500","6,300","6,300","6,300","6,400","6,400","6,500","6,600","6,500","6,500","6,600","6,600","6,600","6,600","6,600","6,500","6,500","6,500","6,600","6,700","6,700","6,700","6,800","6,800","6,900","6,600","6,600","6,600","6,700","6,800","6,800","6,900","6,900","6,900","6,900","7,000","7,100","7,200","7,400","7,500","7,600","7,700","7,600","7,700","7,800","7,700","8,000","7,900","8,000","7,900","8,000","8,000","8,600","8,400","8,400","8,500","8,600","8,500","8,700","8,700","8,700","8,500","8,500","8,500","8,300","8,400","8,400","8,500","8,500","8,500","8,400","8,400","8,400","8,500","8,600","8,500","8,800","8,800","8,900","9,100","9,200","9,100","9,300","9,300","9,300","9,400","9,400","9,500","9,400","9,300","9,300","9,300","9,300","9,200","9,200","9,100","9,000","9,000","9,200","9,200","8,200","8,400","8,500","8,700","8,800","8,800","8,900","9,000","8,900","8,900","8,900","8,900","8,900","9,000","9,000","9,100","9,200","9,100","9,100","9,200"
58,2020,036084,,,1,43-492000,            Couriers & Messengers,"6,300","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,400","7,000","6,300","6,200","6,200","6,100","6,200","6,200","6,100","6,200","6,200","6,200","6,300","6,800","6,300","6,200","6,200","6,300","6,300","6,400","6,200","6,300","6,300","6,200","6,400","7,000","6,400","6,300","6,300","6,300","6,300","6,400","6,400","6,400","6,400","6,500","6,900","7,500","7,000","6,800","6,700","6,700","6,800","6,900","6,900","6,900","7,100","7,100","7,400","8,700","7,900","7,300","7,300","7,200","7,300","7,500","7,600","7,500","7,600","7,800","8,600","9,700","8,300","8,100","8,000","7,800","7,800","8,000","8,000","8,100","8,400","8,300","9,100","10,800","8,900","8,200","7,900","7,700","7,800","7,900","8,100","8,300","8,300","8,600","9,300","11,100","9,200","8,500","8,500","8,400","8,400","8,500","8,400","8,400","8,500","8,500","9,800","10,900","9,300","8,900","8,900","8,600","8,800","8,900","8,900","8,900","9,100","9,400","10,500","11,900","10,700","9,700","9,600","9,400","9,800","10,700","11,200","11,400","11,400","10,800","13,300","14,900","12,300","12,300","12,200","11,200","11,200","11,100","11,000","11,400","11,300","11,300","13,000"
